battery,material type,material,mass in 1 cell,unit
NCA G,base-scrap,Plastic PE - Separator,0.0,kg
NCA G,base-scrap,Plastic PP - Container,0.0,kg
NCA G,base-scrap,Plastic PET - Container,0.0,kg
NCA G,base-scrap,NMP - Anode,0.0,kg
NCA G,base-scrap,NMP - Cathode,0.0008829707810602995,kg
NCA G,base-scrap,Water,0.0005827133953864832,kg
NMC622 G,cell,anode active material,0.09939160000000001,kg
NMC622 G,cell,anode carbon,0.0,kg
NMC622 G,cell,anode binder,0.0020284,kg
NMC622 G,cell,anode current collector,0.0681044880036586,kg
NMC622 G,cell,cathode active material,0.1640544,kg
NMC622 G,cell,cathode carbon,0.0034177999999999995,kg
NMC622 G,cell,cathode binder,0.0034177999999999995,kg
NMC622 G,cell,cathode current collector,0.030899752589144548,kg
NMC622 G,cell,separator,0.005146146804261675,kg
NMC622 G,cell,electrolyte,0.05016132373245329,kg
NMC622 G,cell,negative terminal,0.018759795061686825,kg
NMC622 G,cell,positive terminal,0.005674349743275249,kg
NMC622 G,cell,container,0.009795978511014098,kg
NMC622 G,base,Cathode active material,0.1640544,kg
NMC622 G,base,Graphite,0.09939160000000001,kg
NMC622 G,base,Silicon Nano-wire,0.0,kg
NMC622 G,base,Carbon black - Anode,0.0,kg
NMC622 G,base,Carbon black - Cathode,0.0034177999999999995,kg
NMC622 G,base,Binder SBR/CMC - Anode,0.0008113600000000001,kg
NMC622 G,base,Binder SBR/CMC - Cathode,0.0013671199999999999,kg
NMC622 G,base,Binder PVDF - Anode,0.00121704,kg
NMC622 G,base,Binder PVDF - Cathode,0.0020506799999999996,kg
NMC622 G,base,Copper - Foil,0.0681044880036586,kg
NMC622 G,base,Copper - Tab,0.018759795061686825,kg
NMC622 G,base,Aluminum - Foil,0.030899752589144548,kg
NMC622 G,base,Aluminum - Tab,0.005674349743275249,kg
NMC622 G,base,Aluminum - Container,0.008003314443498518,kg
NMC622 G,base,Electrolyte LiPF6,0.007524198559867994,kg
NMC622 G,base,Electrolyte EC,0.02131856258629265,kg
NMC622 G,base,Electrolyte DMC or EMC,0.02131856258629265,kg
NMC622 G,base,Plastic PE - Separator,0.005146146804261675,kg
NMC622 G,base,Plastic PP - Container,0.0005485747966167895,kg
NMC622 G,base,Plastic PET - Container,0.0012440892708987905,kg
NMC622 G,base,NMP - Anode,0.0,kg
NMC622 G,base,NMP - Cathode,0.0820272,kg
NMC622 G,base,Water,0.048681600000000005,kg
NMC622 G,base-scrap,Cathode active material,0.0019253652772157018,kg
NMC622 G,base-scrap,Graphite,0.0011664736543909348,kg
NMC622 G,base-scrap,Silicon Nano-wire,0.0,kg
NMC622 G,base-scrap,Carbon black - Anode,0.0,kg
NMC622 G,base-scrap,Carbon black - Cathode,4.0111776608660446e-05,kg
NMC622 G,base-scrap,Binder SBR/CMC - Anode,9.522233913395387e-06,kg
NMC622 G,base-scrap,Binder SBR/CMC - Cathode,1.604471064346418e-05,kg
NMC622 G,base-scrap,Binder PVDF - Anode,1.4283350870093078e-05,kg
NMC622 G,base-scrap,Binder PVDF - Cathode,2.4067065965196266e-05,kg
NMC622 G,base-scrap,Copper - Foil,0.0,kg
NMC622 G,base-scrap,Copper - Tab,0.0,kg
NMC622 G,base-scrap,Aluminum - Foil,0.0,kg
NMC622 G,base-scrap,Aluminum - Tab,0.0,kg
NMC622 G,base-scrap,Aluminum - Container,0.0,kg
NMC622 G,base-scrap,Electrolyte LiPF6,0.0,kg
NMC622 G,base-scrap,Electrolyte EC,0.0,kg
NMC622 G,base-scrap,Electrolyte DMC or EMC,0.0,kg
NMC622 G,base-scrap,Plastic PE - Separator,0.0,kg
NMC622 G,base-scrap,Plastic PP - Container,0.0,kg
NMC622 G,base-scrap,Plastic PET - Container,0.0,kg
NMC622 G,base-scrap,NMP - Anode,0.0,kg
NMC622 G,base-scrap,NMP - Cathode,0.0009626826386078509,kg
NMC622 G,base-scrap,Water,0.0005713340348037232,kg
NMC111 G,cell,anode active material,0.101289,kg
NMC111 G,cell,anode carbon,0.0,kg
NMC111 G,cell,anode binder,0.005331000000000001,kg
NMC111 G,cell,anode current collector,0.06927724319208634,kg
NMC111 G,cell,cathode active material,0.19464,kg
NMC111 G,cell,cathode carbon,0.004055,kg
NMC111 G,cell,cathode binder,0.004055,kg
NMC111 G,cell,cathode current collector,0.031431844470785404,kg
NMC111 G,cell,separator,0.005234763142802898,kg
NMC111 G,cell,electrolyte,0.05520145673906343,kg
NMC111 G,cell,negative terminal,0.020099780423235885,kg
NMC111 G,cell,positive terminal,0.006079660439223481,kg
NMC111 G,cell,container,0.010547078332165834,kg
NMC111 G,base,Cathode active material,0.19464,kg
NMC111 G,base,Graphite,0.101289,kg
NMC111 G,base,Silicon Nano-wire,0.0,kg
NMC111 G,base,Carbon black - Anode,0.0,kg
NMC111 G,base,Carbon black - Cathode,0.004055,kg
NMC111 G,base,Binder SBR/CMC - Anode,0.002132400000000001,kg
NMC111 G,base,Binder SBR/CMC - Cathode,0.001622,kg
NMC111 G,base,Binder PVDF - Anode,0.0031986000000000002,kg
NMC111 G,base,Binder PVDF - Cathode,0.0024329999999999994,kg
NMC111 G,base,Copper - Foil,0.06927724319208634,kg
NMC111 G,base,Copper - Tab,0.020099780423235885,kg
NMC111 G,base,Aluminum - Foil,0.031431844470785404,kg
NMC111 G,base,Aluminum - Tab,0.006079660439223481,kg
NMC111 G,base,Aluminum - Container,0.008616962997379487,kg
NMC111 G,base,Electrolyte LiPF6,0.008280218510859515,kg
NMC111 G,base,Electrolyte EC,0.023460619114101956,kg
NMC111 G,base,Electrolyte DMC or EMC,0.023460619114101956,kg
NMC111 G,base,Plastic PE - Separator,0.005234763142802898,kg
NMC111 G,base,Plastic PP - Container,0.0005906363866012868,kg
NMC111 G,base,Plastic PET - Container,0.001339478948185061,kg
NMC111 G,base,NMP - Anode,0.0,kg
NMC111 G,base,NMP - Cathode,0.09732,kg
NMC111 G,base,Water,0.12794400000000006,kg
NMC111 G,base-scrap,Cathode active material,0.002284322136786726,kg
NMC111 G,base-scrap,Graphite,0.0011887418049372725,kg
NMC111 G,base-scrap,Silicon Nano-wire,0.0,kg
NMC111 G,base-scrap,Carbon black - Anode,0.0,kg
NMC111 G,base-scrap,Carbon black - Cathode,4.759004451639012e-05,kg
NMC111 G,base-scrap,Binder SBR/CMC - Anode,2.502614326183732e-05,kg
NMC111 G,base-scrap,Binder SBR/CMC - Cathode,1.903601780655605e-05,kg
NMC111 G,base-scrap,Binder PVDF - Anode,3.7539214892755975e-05,kg
NMC111 G,base-scrap,Binder PVDF - Cathode,2.855402670983407e-05,kg
NMC111 G,base-scrap,Copper - Foil,0.0,kg
NMC111 G,base-scrap,Copper - Tab,0.0,kg
NMC111 G,base-scrap,Aluminum - Foil,0.0,kg
NMC111 G,base-scrap,Aluminum - Tab,0.0,kg
NMC111 G,base-scrap,Aluminum - Container,0.0,kg
NMC111 G,base-scrap,Electrolyte LiPF6,0.0,kg
NMC111 G,base-scrap,Electrolyte EC,0.0,kg
NMC111 G,base-scrap,Electrolyte DMC or EMC,0.0,kg
NMC111 G,base-scrap,Plastic PE - Separator,0.0,kg
NMC111 G,base-scrap,Plastic PP - Container,0.0,kg
NMC111 G,base-scrap,Plastic PET - Container,0.0,kg
NMC111 G,base-scrap,NMP - Anode,0.0,kg
NMC111 G,base-scrap,NMP - Cathode,0.001142161068393363,kg
NMC111 G,base-scrap,Water,0.0015015685957102396,kg
NMC532LMO G,cell,anode active material,0.09777399999999997,kg
NMC532LMO G,cell,anode carbon,0.0,kg
NMC532LMO G,cell,anode binder,0.005146,kg
NMC532LMO G,cell,anode current collector,0.04961429799671544,kg
NMC532LMO G,cell,cathode active material,0.2164512,kg
NMC532LMO G,cell,cathode carbon,0.0045094,kg
NMC532LMO G,cell,cathode binder,0.0045094,kg
NMC532LMO G,cell,cathode current collector,0.022510550742268855,kg
NMC532LMO G,cell,separator,0.003748981433760542,kg
NMC532LMO G,cell,electrolyte,0.053401409236702654,kg
NMC532LMO G,cell,negative terminal,0.01965311863605286,kg
NMC532LMO G,cell,positive terminal,0.005944556873907402,kg
NMC532LMO G,cell,container,0.010367553594597052,kg
NMC532LMO G,base,Cathode active material,0.2164512,kg
NMC532LMO G,base,Graphite,0.09777399999999997,kg
NMC532LMO G,base,Silicon Nano-wire,0.0,kg
NMC532LMO G,base,Carbon black - Anode,0.0,kg
NMC532LMO G,base,Carbon black - Cathode,0.0045094,kg
NMC532LMO G,base,Binder SBR/CMC - Anode,0.0020584,kg
NMC532LMO G,base,Binder SBR/CMC - Cathode,0.0018037600000000002,kg
NMC532LMO G,base,Binder PVDF - Anode,0.0030876000000000002,kg
NMC532LMO G,base,Binder PVDF - Cathode,0.00270564,kg
NMC532LMO G,base,Copper - Foil,0.04961429799671544,kg
NMC532LMO G,base,Copper - Tab,0.01965311863605286,kg
NMC532LMO G,base,Aluminum - Foil,0.022510550742268855,kg
NMC532LMO G,base,Aluminum - Tab,0.005944556873907402,kg
NMC532LMO G,base,Aluminum - Container,0.008470291286785791,kg
NMC532LMO G,base,Electrolyte LiPF6,0.008010211385505396,kg
NMC532LMO G,base,Electrolyte EC,0.022695598925598626,kg
NMC532LMO G,base,Electrolyte DMC or EMC,0.022695598925598626,kg
NMC532LMO G,base,Plastic PE - Separator,0.003748981433760542,kg
NMC532LMO G,base,Plastic PP - Container,0.000580583001297435,kg
NMC532LMO G,base,Plastic PET - Container,0.0013166793065138257,kg
NMC532LMO G,base,NMP - Anode,0.0,kg
NMC532LMO G,base,NMP - Cathode,0.1082256,kg
NMC532LMO G,base,Water,0.123504,kg
NMC532LMO G,base-scrap,Cathode active material,0.002540301416430595,kg
NMC532LMO G,base-scrap,Graphite,0.001147489275596924,kg
NMC532LMO G,base-scrap,Silicon Nano-wire,0.0,kg
NMC532LMO G,base-scrap,Carbon black - Anode,0.0,kg
NMC532LMO G,base-scrap,Carbon black - Cathode,5.29229461756374e-05,kg
NMC532LMO G,base-scrap,Binder SBR/CMC - Anode,2.4157668959935253e-05,kg
NMC532LMO G,base-scrap,Binder SBR/CMC - Cathode,2.1169178470254963e-05,kg
NMC532LMO G,base-scrap,Binder PVDF - Anode,3.623650343990287e-05,kg
NMC532LMO G,base-scrap,Binder PVDF - Cathode,3.175376770538244e-05,kg
NMC532LMO G,base-scrap,Copper - Foil,0.0,kg
NMC532LMO G,base-scrap,Copper - Tab,0.0,kg
NMC532LMO G,base-scrap,Aluminum - Foil,0.0,kg
NMC532LMO G,base-scrap,Aluminum - Tab,0.0,kg
NMC532LMO G,base-scrap,Aluminum - Container,0.0,kg
NMC532LMO G,base-scrap,Electrolyte LiPF6,0.0,kg
NMC532LMO G,base-scrap,Electrolyte EC,0.0,kg
NMC532LMO G,base-scrap,Electrolyte DMC or EMC,0.0,kg
NMC532LMO G,base-scrap,Plastic PE - Separator,0.0,kg
NMC532LMO G,base-scrap,Plastic PP - Container,0.0,kg
NMC532LMO G,base-scrap,Plastic PET - Container,0.0,kg
NMC532LMO G,base-scrap,NMP - Anode,0.0,kg
NMC532LMO G,base-scrap,NMP - Cathode,0.0012701507082152974,kg
NMC532LMO G,base-scrap,Water,0.001449460137596115,kg
NMC532 G,cell,anode active material,0.09873500000000003,kg
NMC532 G,cell,anode carbon,0.0,kg
NMC532 G,cell,anode binder,0.0020150000000000007,kg
NMC532 G,cell,anode current collector,0.06882236282801917,kg
NMC532 G,cell,cathode active material,0.18789120000000004,kg
NMC532 G,cell,cathode carbon,0.003914400000000001,kg
NMC532 G,cell,cathode binder,0.003914400000000001,kg
NMC532 G,cell,cathode current collector,0.031225460264408565,kg
NMC532 G,cell,separator,0.006471597982260842,kg
NMC532 G,cell,electrolyte,0.049441304731509005,kg
NMC532 G,cell,negative terminal,0.019206456848869846,kg
NMC532 G,cell,positive terminal,0.005809453308591328,kg
NMC532 G,cell,container,0.010079786000552983,kg
NMC532 G,base,Cathode active material,0.18789120000000004,kg
NMC532 G,base,Graphite,0.09873500000000003,kg
NMC532 G,base,Silicon Nano-wire,0.0,kg
NMC532 G,base,Carbon black - Anode,0.0,kg
NMC532 G,base,Carbon black - Cathode,0.003914400000000001,kg
NMC532 G,base,Binder SBR/CMC - Anode,0.0008060000000000004,kg
NMC532 G,base,Binder SBR/CMC - Cathode,0.0015657600000000007,kg
NMC532 G,base,Binder PVDF - Anode,0.0012090000000000004,kg
NMC532 G,base,Binder PVDF - Cathode,0.0023486400000000004,kg
NMC532 G,base,Copper - Foil,0.06882236282801917,kg
NMC532 G,base,Copper - Tab,0.019206456848869846,kg
NMC532 G,base,Aluminum - Foil,0.031225460264408565,kg
NMC532 G,base,Aluminum - Tab,0.005809453308591328,kg
NMC532 G,base,Aluminum - Container,0.008235185162451787,kg
NMC532 G,base,Electrolyte LiPF6,0.00741619570972635,kg
NMC532 G,base,Electrolyte EC,0.021012554510891325,kg
NMC532 G,base,Electrolyte DMC or EMC,0.021012554510891325,kg
NMC532 G,base,Plastic PE - Separator,0.006471597982260842,kg
NMC532 G,base,Plastic PP - Container,0.000564468016030967,kg
NMC532 G,base,Plastic PET - Container,0.0012801328220702287,kg
NMC532 G,base,NMP - Anode,0.0,kg
NMC532 G,base,NMP - Cathode,0.09394560000000002,kg
NMC532 G,base,Water,0.048360000000000014,kg
NMC532 G,base-scrap,Cathode active material,0.0022051172804532578,kg
NMC532 G,base-scrap,Graphite,0.0011587677053824367,kg
NMC532 G,base-scrap,Silicon Nano-wire,0.0,kg
NMC532 G,base-scrap,Carbon black - Anode,0.0,kg
NMC532 G,base-scrap,Carbon black - Cathode,4.593994334277621e-05,kg
NMC532 G,base-scrap,Binder SBR/CMC - Anode,9.459328207203565e-06,kg
NMC532 G,base-scrap,Binder SBR/CMC - Cathode,1.8375977337110485e-05,kg
NMC532 G,base-scrap,Binder PVDF - Anode,1.4188992310805346e-05,kg
NMC532 G,base-scrap,Binder PVDF - Cathode,2.7563966005665725e-05,kg
NMC532 G,base-scrap,Copper - Foil,0.0,kg
NMC532 G,base-scrap,Copper - Tab,0.0,kg
NMC532 G,base-scrap,Aluminum - Foil,0.0,kg
NMC532 G,base-scrap,Aluminum - Tab,0.0,kg
NMC532 G,base-scrap,Aluminum - Container,0.0,kg
NMC532 G,base-scrap,Electrolyte LiPF6,0.0,kg
