battery,process,energy,unit
LMO LTO,cathode slitting,0.0002068777141793739,MJ/kg
LMO LTO,stacking/winding,0.0004137554283587478,MJ/kg
LMO LTO,filling,0.0006895923805979129,MJ/kg
LMO LTO,formation,1.1792029708224312,MJ/kg
LMO LTO,floor heating,0.10273580903776261,MJ/kg
LMO LTO,dry room,19.612591196235165,MJ/kg
NMC333 Si,anode mixing,0.006564472895881782,MJ/kg
NMC333 Si,cathode mixing,0.055491398728219385,MJ/kg
NMC333 Si,anode coating,0.007963534655633538,MJ/kg
NMC333 Si,cathode coating,0.007963534655633538,MJ/kg
NMC333 Si,anode drying,7.09025021221959,MJ/kg
NMC333 Si,cathode drying,18.44587097778308,MJ/kg
NMC333 Si,anode calendering,0.0011467489904112295,MJ/kg
NMC333 Si,cathode calendering,0.0011467489904112295,MJ/kg
NMC333 Si,anode slitting,0.00025483310898027326,MJ/kg
NMC333 Si,cathode slitting,0.00025483310898027326,MJ/kg
NMC333 Si,stacking/winding,0.0005096662179605465,MJ/kg
NMC333 Si,filling,0.0008494436966009107,MJ/kg
NMC333 Si,formation,1.4525487211875574,MJ/kg
NMC333 Si,floor heating,0.1265505360234058,MJ/kg
NMC333 Si,dry room,24.158897972752484,MJ/kg
